"id","title","poster_url","year","duration","age_rating","star_rating","num_ratings","description"
"1940","Election","https://m.media-amazon.com/images/M/MV5BMTVmMWJiMTgtNmNmMS00NmI2LTgxZTAtNjdhODE2NTBlYTAyXkEyXkFqcGc@._V1_QL75_UX280_CR0,13,280,414_.jpg","1999","1h 43m","R","7.2","108K","A high school teacher meets his match in an over-achieving student politician."
"1941","Chasing Amy","https://m.media-amazon.com/images/M/MV5BZWQ5OWQ4NWEtZGJlYy00MzI3LTg5YzItZjVhYjJhYmNkZjM4XkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg","1997","1h 53m","R","7.2","146K","Holden and Banky are comic book artists. Everything's going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian."
"1942","Secretariat","https://m.media-amazon.com/images/M/MV5BMTg0NDI2MTI0N15BMl5BanBnXkFtZTcwNjE4NzU1Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2010","2h 3m","PG","7.2","32K","Penny Chenery Tweedy and colleagues guide her long-shot but precocious stallion to set, in 1973, the unbeaten record for winning the Triple Crown."
"1943","The Courier","https://m.media-amazon.com/images/M/MV5BYTJlOTIwNjItYjZiMS00Njc3LThkMDgtNWVhNGUxNzBlYWE3XkEyXkFqcGc@._V1_QL75_UX280_CR0,6,280,414_.jpg","2020","1h 52m","PG-13","7.2","78K","Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis."
"1944","The Dead Zone","https://m.media-amazon.com/images/M/MV5BNjlmYzYyODgtYjBiYS00ZDM3LWE0MDYtN2U3MzBjMTRmYzMzXkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg","1983","1h 43m","R","7.2","81K","A man awakens from a coma to discover he has a psychic ability to foresee future events."
"1945","St. Vincent","https://m.media-amazon.com/images/M/MV5BMTk5NzI5OTA4MF5BMl5BanBnXkFtZTgwNjc4NTM3MjE@._V1_QL75_UX280_CR0,12,280,414_.jpg","2014","1h 42m","PG-13","7.2","111K","A young boy whose parents have just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic war veteran who lives next door."
"1946","The Ghost Writer","https://m.media-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2010","2h 8m","PG-13","7.2","174K","A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy."
"1947","Quills","https://m.media-amazon.com/images/M/MV5BOTFiMGQxOWItZDMxOS00NjU1LWEwZTEtMzQ1ZDA4N2U3NjY1XkEyXkFqcGc@._V1_QL75_UY414_CR1,0,280,414_.jpg","2000","2h 4m","R","7.2","58K","In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor."
"1948","The Hitcher","https://m.media-amazon.com/images/M/MV5BMTk0ZmM5YTAtNGE3OC00YjI2LTg4MzItODUyYzhkMjMxODA5XkEyXkFqcGc@._V1_QL75_UX280_CR0,5,280,414_.jpg","1986","1h 37m","R","7.2","56K","A young man who escapes the clutches of a murderous hitchhiker is subsequently stalked by the hitcher and framed for his crimes."
"1949","Murder by Death","https://m.media-amazon.com/images/M/MV5BMDVkZjRjZjAtMmMyMy00ZDBmLWIwNWQtNDJiOWE4NjNjOGE0XkEyXkFqcGc@._V1_QL75_UY414_CR0,0,280,414_.jpg","1976","1h 35m","PG","7.2","44K","Five famous literary detective characters and their sidekicks are invited to a bizarre mansion to solve an even stranger mystery."
"1950","Dead Ringers","https://m.media-amazon.com/images/M/MV5BYTMwZDViNDMtZGJjNC00YzM4LWFiN2YtZjVjNjAwOWNjMTIxXkEyXkFqcGc@._V1_QL75_UX280_CR0,2,280,414_.jpg","1988","1h 56m","R","7.2","56K","Twin gynecologists take full advantage of the fact that nobody can tell them apart, until their relationship begins to deteriorate over a woman."
"1951","The Great Race","https://m.media-amazon.com/images/M/MV5BNmQwOWFlZjgtY2QwZS00OWZkLWI0YTEtOTMzMjBhNjExZTlkXkEyXkFqcGc@._V1_QL75_UX280_CR0,19,280,414_.jpg","1965","2h 40m","Approved","7.2","21K","In the early 20th century, heroic Leslie Gallant and his despicable rival Professor Fate engage in an epic automobile race from New York to Paris while enthusiastic suffragette Maggie Dubois enters the race to report on every step of it."
"1952","Crazy Heart","https://m.media-amazon.com/images/M/MV5BMTU0NDc5NjgzNl5BMl5BanBnXkFtZTcwNzc0NDIzMw@@._V1_QL75_UY414_CR0,0,280,414_.jpg","2009","1h 52m","R","7.2","97K","A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him."
"1953","Star Trek VI: The Undiscovered Country","https://m.media-amazon.com/images/M/MV5BNDgzYjM5MWQtYTkzNy00OWZlLWEzMDctYjA5MDUyNmJhZjM5XkEyXkFqcGc@._V1_QL75_UX280_CR0,2,280,414_.jpg","1991","1h 50m","PG","7.2","83K","On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace."
"1954","The Misfits","https://m.media-amazon.com/images/M/MV5BMDFiZmEwN2QtN2Y1Ny00ODM2LTgyZjYtMTI2YzdmNmJhMDUzXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1961","2h 5m","Approved","7.2","24K","A divorcée falls for an over-the-hill cowboy who is struggling to maintain his romantically-independent lifestyle."
"1955","Stuck in Love.","https://m.media-amazon.com/images/M/MV5BMTU1NzI5MDU3OV5BMl5BanBnXkFtZTcwNTE0NDMzOQ@@._V1_QL75_UY414_CR1,0,280,414_.jpg","2012","1h 37m","R","7.2","94K","An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year."
"1956","Vanishing Point","https://m.media-amazon.com/images/M/MV5BOWE1MDBiZjYtYjE5Ny00MGUxLWJhMTEtYTM5MjcyZjYzN2Q0XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1971","1h 39m","R","7.2","31K","During the 1970s, car-delivery driver Kowalski delivers hot rods in record time, but always runs into trouble."
"1957","Men of Honor","https://m.media-amazon.com/images/M/MV5BMDY2YzVjZDgtOTMxZi00ZDIzLWI0YjYtZDUxMTNhZWUyMTJjXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2000","2h 9m","R","7.2","128K","Carl Brashear is an ambitious sharecropper who joins the U.S. Navy to become the world's first black master diver. But as he works through diving training, the racist Master Chief sets out to make Carl's journey as difficult as possible."
"1958","Dumbo","https://m.media-amazon.com/images/M/MV5BNzIzZWZmM2ItNGMzOC00MGFiLTgxODgtNTQ2Mzk3ZWE1MzYxXkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg","1941","1h 4m","G","7.2","147K","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential."
"1959","The Man Who Knew Infinity","https://m.media-amazon.com/images/M/MV5BMTU3Njg4MDM3OV5BMl5BanBnXkFtZTgwMjE5ODM3ODE@._V1_QL75_UX280_CR0,0,280,414_.jpg","2015","1h 48m","PG-13","7.2","64K","The story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy."
"1960","Columbus","https://m.media-amazon.com/images/M/MV5BODYxY2Q0NDAtMWU2ZS00MjFmLWI2YzYtYTA4MWI3YmNiYzkzXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2017","1h 40m","Not Rated","7.2","22K","A Korean-born man finds himself stuck in Columbus, Indiana, where his architect father is in a coma. The man meets a young woman who wants to stay in Columbus with her mother, a recovering addict, instead of pursuing her own dreams."
"1961","20,000 Leagues Under the Sea","https://m.media-amazon.com/images/M/MV5BNGMxNDA0MDUtOWRkMi00NjhhLTk3ODUtNDcyYzFhMzIzMDY4XkEyXkFqcGc@._V1_QL75_UX280_CR0,5,280,414_.jpg","1954","2h 7m","G","7.2","39K","A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo."
"1962","A Mighty Wind","https://m.media-amazon.com/images/M/MV5BMTI5MDAwMTg1OV5BMl5BanBnXkFtZTYwMzg0MDI3._V1_QL75_UY414_CR2,0,280,414_.jpg","2003","1h 31m","PG-13","7.2","30K","Mockumentary captures the reunion of 1960s folk trio the Folksmen as they prepare for a show at The Town Hall to memorialize a recently deceased concert promoter."
"1963","Eight Men Out","https://m.media-amazon.com/images/M/MV5BMTUxMTIzNTY4N15BMl5BanBnXkFtZTcwMDQ4NjYzNA@@._V1_QL75_UX280_CR0,3,280,414_.jpg","1988","1h 59m","PG","7.2","23K","A dramatization of the Black Sox scandal when the underpaid Chicago White Sox accepted bribes to deliberately lose the 1919 World Series."
"1964","Paris, Je T'aime","https://m.media-amazon.com/images/M/MV5BMGVjOTcwMzYtMDAyOC00YTQxLWIwMjYtN2FkYTg2MTE3NzgwXkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg","2006","2h","R","7.2","75K","Through the neighborhoods of Paris, love is veiled, revealed, imitated, sucked dry, reinvented, and awakened."
"1965","The Light Between Oceans","https://m.media-amazon.com/images/M/MV5BNTI1NzQzMjgxOF5BMl5BanBnXkFtZTgwOTY1OTY2OTE@._V1_QL75_UX280_CR0,0,280,414_.jpg","2016","2h 13m","PG-13","7.2","62K","A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat."
"1966","'71","https://m.media-amazon.com/images/M/MV5BMTg1NjE5Njg4M15BMl5BanBnXkFtZTgwMzEyODAzNDE@._V1_QL75_UX280_CR0,0,280,414_.jpg","2014","1h 39m","R","7.2","63K","In 1971, a young and disoriented British soldier is accidentally abandoned by his unit following a riot on the deadly streets of Belfast."
"1967","About Schmidt","https://m.media-amazon.com/images/M/MV5BMTg3ODY2ODM3OF5BMl5BanBnXkFtZTYwOTQ5NTM3._V1_QL75_UX280_CR0,1,280,414_.jpg","2002","2h 5m","R","7.2","136K","Newly retired from the insurance industry, Omaha native Warren Schmidt embarks on an RV journey to his estranged daughter Jeannie's wedding in Denver Colorado, only to discover more about himself and life than he ever expected."
"1968","Speak","https://m.media-amazon.com/images/M/MV5BMTg4MzY0NzUzMl5BMl5BanBnXkFtZTYwOTE4Mjc2._V1_QL75_UX280_CR0,2,280,414_.jpg","2004","1h 29m","PG-13","7.2","31K","A teenager is traumatized into silence after a disastrous summer party."
"1969","Arlington Road","https://m.media-amazon.com/images/M/MV5BMTlmYzA4NGItZTdlMS00YTU1LWEyNjQtNGNiN2M4OWYyOTRlXkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1999","1h 57m","R","7.2","94K","A man begins to suspect his neighbors are not what they appear to be and their secrets could be deadly."
"1970","Candy","https://m.media-amazon.com/images/M/MV5BYjdhNDA3MmItZDBkOC00NmEyLTljZDgtMmYyYWFmMDA1ZGRkXkEyXkFqcGc@._V1_QL75_UY414_CR2,0,280,414_.jpg","2006","1h 48m","R","7.2","49K","A poet falls in love with an art student who gravitates to his bohemian lifestyle -- and his love of heroin. Hooked as much on one another as they are on the drug, their relationship alternates between states of oblivion, self-destruction, and despair."
"1971","The Professor and the Madman","https://m.media-amazon.com/images/M/MV5BN2JlYzRmNjYtYTg4Mi00MjMyLTlhYTYtMmNiY2Y0ODg5M2I1XkEyXkFqcGc@._V1_QL75_UY414_CR5,0,280,414_.jpg","2019","2h 4m","Not Rated","7.2","53K","Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor."
"1972","The Young Victoria","https://m.media-amazon.com/images/M/MV5BZDI4ODBlM2QtYjUxMS00OGRiLWI2YjgtZjI0YjU1YWY2MTJjXkEyXkFqcGc@._V1_QL75_UX280_CR0,9,280,414_.jpg","2009","1h 45m","PG","7.2","68K","A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert."
"1973","Force Majeure","https://m.media-amazon.com/images/M/MV5BMjcwMjNiODMtZjY1ZC00N2M0LTgyYzAtMTk1ZDZmODBhZGU1XkEyXkFqcGc@._V1_QL75_UY414_CR5,0,280,414_.jpg","2014","2h","R","7.2","70K","A family vacationing in the French Alps is confronted with a devastating avalanche."
"1974","The Hudsucker Proxy","https://m.media-amazon.com/images/M/MV5BMTc0YmNlMmQtNWQ4Yy00ZWZlLTgxYzItOWI2MGQyZGNmMWUzXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","1994","1h 51m","PG","7.2","88K","A naive business graduate is installed as president of a manufacturing company as part of a stock scam."
"1975","Wish Dragon","https://m.media-amazon.com/images/M/MV5BMWM1YmJmYWMtMDM1Ni00ZGM2LTkxODYtOTU1ZjA4MTFkMDM1XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2021","1h 38m","PG","7.2","36K","Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities."
"1976","Pump Up the Volume","https://m.media-amazon.com/images/M/MV5BMzg0ZjRhNWQtYWEyNy00YTgxLThkZWItOWU0MTdkNmI2YWFmXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","1990","1h 42m","R","7.2","32K","Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens."
"1977","Wonder Boys","https://m.media-amazon.com/images/M/MV5BOTJmNmIxMTYtNzA4Ni00N2VhLWIxYjYtMDFlNDQ5NjcxZTBmXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","2000","1h 47m","R","7.2","68K","An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in."
"1978","Reversal of Fortune","https://m.media-amazon.com/images/M/MV5BODIxMDU3ZWEtNWUyOC00M2NkLThmMTMtZWZkYTRhNjU1NTNlXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1990","1h 51m","R","7.2","20K","Wealthy Sunny von Bülow lies brain-dead, husband Claus guilty of attempted murder; but he says he's innocent and hires Alan Dershowitz for his appeal."
"1979","The Report","https://m.media-amazon.com/images/M/MV5BNTA3MDQwMDktNTNmYS00ZTkzLWE4ZDAtMzg2NGYyM2UzYWQ3XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2019","1h 59m","R","7.2","54K","Idealistic Senate staffer Daniel J. Jones, tasked by his boss to lead an investigation into the CIA's post 9/11 Detention and Interrogation Program, uncovers shocking secrets."
"1980","The Siege of Jadotville","https://m.media-amazon.com/images/M/MV5BNjJhZGY0NTUtOTI0Yi00NGY5LTk4ZWYtYmVmNGFiMTZiZTgwXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","2016","1h 48m","TV-MA","7.2","46K","Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s."
"1981","An Education","https://m.media-amazon.com/images/M/MV5BMTg4NjgzOTc0MF5BMl5BanBnXkFtZTcwOTc2OTE3Mg@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2009","1h 40m","PG-13","7.2","140K","A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age."
"1982","Beginners","https://m.media-amazon.com/images/M/MV5BOTI0ZTYwYjItZTA0ZC00YTMwLTljMmYtODZlZjJiNGY3YmExXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","2010","1h 45m","R","7.2","96K","Oliver, a graphic designer, is attracted to a free-spirited and unpredictable Anna. Memories of his father encourage him to open himself up to the potential of a true and long-lasting relationship."
"1983","Animal Kingdom","https://m.media-amazon.com/images/M/MV5BMTQ2NjcwNjE4NV5BMl5BanBnXkFtZTcwNDU2NDg1Mw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2010","1h 53m","R","7.2","62K","A seventeen-year-old navigates his survival amongst an explosive criminal family and the detective who thinks he can save him."
"1984","The Best Exotic Marigold Hotel","https://m.media-amazon.com/images/M/MV5BMjIwNjkwMDI2NV5BMl5BanBnXkFtZTcwNDc1ODIyNw@@._V1_QL75_UY414_CR0,0,280,414_.jpg","2011","2h 4m","PG-13","7.2","102K","British retirees travel to India to take up residence in what they believe is a newly restored hotel. Less luxurious than advertised, the Marigold Hotel nevertheless slowly begins to charm in unexpected ways."
"1985","Breakfast on Pluto","https://m.media-amazon.com/images/M/MV5BNjZjYTI1NGYtNDc3Ni00MGY5LWJmOTAtNDBhNmIxMzdmNzNjXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2005","2h 8m","R","7.2","25K","In the 1970s, a young trans woman, Patrick ""Kitten"" Braden, comes of age by leaving her Irish town for London, in part to look for her mother and in part because her gender identity is beyond the town's understanding."
"1986","Shallow Grave","https://m.media-amazon.com/images/M/MV5BZjgyZDcwOGYtZDVmMi00NWY0LWI0NDUtMGFiMzA1YjRlMjZlXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1994","1h 29m","R","7.2","68K","Three friends discover their new flatmate dead but loaded with cash."
"1987","The Sessions","https://m.media-amazon.com/images/M/MV5BMTQzNTU4NjMzNV5BMl5BanBnXkFtZTcwNDQzMTY1OA@@._V1_QL75_UX280_CR0,1,280,414_.jpg","2012","1h 35m","R","7.2","45K","A man in an iron lung who wishes to lose his virginity contacts a professional sex surrogate with the help of his therapist and priest."
"1988","Fahrenheit 451","https://m.media-amazon.com/images/M/MV5BMDA3ZjIxY2UtMzVmMS00NTkwLTljMzktNzk2ZWMxYzZkNGE3XkEyXkFqcGc@._V1_QL75_UX280_CR0,1,280,414_.jpg","1966","1h 52m","Not Rated","7.2","46K","In an oppressive future, a fireman whose duty is to destroy all books begins to question his task."
"1989","Them!","https://m.media-amazon.com/images/M/MV5BOWU2MGQ4ZWYtNWI1ZC00MWRjLTg4NjUtMmNmZjQyOWI3NTE1XkEyXkFqcGc@._V1_QL75_UX280_CR0,8,280,414_.jpg","1954","1h 34m","Approved","7.2","25K","The earliest atomic tests in New Mexico cause common ants to mutate into giant man-eating monsters that threaten civilization."
"1990","Anomalisa","https://m.media-amazon.com/images/M/MV5BMTkyMzI2MzQ1N15BMl5BanBnXkFtZTgwNDg0MzQxNzE@._V1_QL75_UY414_CR2,0,280,414_.jpg","2015","1h 30m","R","7.2","77K","A man crippled by the mundanity of his life experiences something out of the ordinary."
"1991","Quadrophenia","https://m.media-amazon.com/images/M/MV5BYzkzYTY5Y2ItNDE4Yy00MDkyLWJkMzEtZDU0YTI2N2Q2ZGJjXkEyXkFqcGc@._V1_QL75_UX280_CR0,5,280,414_.jpg","1979","2h","R","7.2","22K","Jimmy Cooper loathes his dead-end job and his working-class parents. He seeks solace with his mod clique, scooter riding, and drugs, only to be disappointed."
"1992","The Way of the Dragon","https://m.media-amazon.com/images/M/MV5BMDQ3MWJiZmUtYThhMi00OGM5LWExZGMtOGE2MjMzYWViN2I3XkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg","1972","1h 30m","R","7.2","43K","A country bumpkin martial artist visits his relatives in Rome, Italy, where he must defend them and their restaurant against harassment from brutal gangsters."
"1993","The Physician","https://m.media-amazon.com/images/M/MV5BMTUxNDY5MTQwMF5BMl5BanBnXkFtZTgwMzE1OTE2MzE@._V1_QL75_UY414_CR3,0,280,414_.jpg","2013","2h 35m","R","7.2","43K","In 11th-century Persia, a surgeon's apprentice disguises himself as a Jew to study at a school that does not admit Christians."
"1994","Harry Brown","https://m.media-amazon.com/images/M/MV5BMTM5NjE2NzI2Ml5BMl5BanBnXkFtZTcwNDY0ODUyMw@@._V1_QL75_UX280_CR0,0,280,414_.jpg","2009","1h 43m","R","7.2","93K","An elderly ex-serviceman and widower looks to avenge his best friend's murder by doling out his own form of justice."
"1995","The Transformers: The Movie","https://m.media-amazon.com/images/M/MV5BZDg0MjY5NjUtNTEyMy00Y2NjLWI2YzQtYTkyMDU1NDhiODFjXkEyXkFqcGc@._V1_QL75_UX280_CR0,6,280,414_.jpg","1986","1h 24m","PG","7.2","43K","The Autobots must stop a colossal planet-consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons."
"1996","Glory Road","https://m.media-amazon.com/images/M/MV5BYzdmZTNlOWEtMDQwNy00MDlhLTgxZDEtYjY4MTM5ODM3MDM5XkEyXkFqcGc@._V1_QL75_UX280_CR0,12,280,414_.jpg","2006","1h 58m","PG","7.2","50K","In 1966, Texas Western coach Don Haskins led the first all-black starting line-up for a college basketball team to the NCAA national championship."
"1997","Honey Boy","https://m.media-amazon.com/images/M/MV5BMmE2ZWU0NzUtMWZlOS00OWEzLWJiNjUtMDAwZWEyY2MzYjc2XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2019","1h 34m","R","7.2","42K","A young actor's stormy childhood and early adult years as he struggles to reconcile with his father and deal with his mental health."
"1998","The Witcher: Nightmare of the Wolf","https://m.media-amazon.com/images/M/MV5BODQzNDE4N2ItZDAwMC00YzA3LTkwMTEtZDgyMjE3M2ZiY2NiXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2021","1h 23m","TV-MA","7.2","53K","Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
"1999","Wristcutters: A Love Story","https://m.media-amazon.com/images/M/MV5BZTQzY2ZlYzItY2M0Ny00YjIwLWJjYTQtNDEzNzJmNzE2MTc1XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2006","1h 28m","R","7.2","59K","A film set in a strange afterlife way station that has been reserved for people who have committed suicide."
"2000","Horror of Dracula","https://m.media-amazon.com/images/M/MV5BNTQxZTQxYjUtZDg0Zi00ZGE2LWJlMzQtYWJhMjM2MTJmYTI1XkEyXkFqcGc@._V1_QL75_UY414_CR0,0,280,414_.jpg","1958","1h 22m","Approved","7.2","30K","When Jonathan Harker rouses the ire of Count Dracula for accepting a job at the vampire's castle under false pretenses, his friend Dr. Van Helsing pursues the predatory villain."
"2001","The Brave Little Toaster","https://m.media-amazon.com/images/M/MV5BMmIwZTFlNGUtZTFjYy00YWRhLWI0MTYtYWNkZTdkNDBiOGUxXkEyXkFqcGc@._V1_QL75_UX280_CR0,12,280,414_.jpg","1987","1h 30m","G","7.2","29K","A group of dated appliances embark on a journey to the city to find their master after being abandoned in a cabin in the woods."
"2002","Dope","https://m.media-amazon.com/images/M/MV5BMjA3MjYyNTk0Nl5BMl5BanBnXkFtZTgwODc1NzQ1NTE@._V1_QL75_UX280_CR0,0,280,414_.jpg","2015","1h 43m","R","7.2","90K","Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure."
"2003","Fist of Fury","https://m.media-amazon.com/images/M/MV5BZDAxMWZjMTgtNDdkMC00YmI5LWFkNzYtOTA0NDMwNjE2Y2MzXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1972","1h 47m","R","7.2","36K","During the Japanese occupation of Shanghai, the star pupil of a recently-deceased martial arts teacher battles a Japanese dojo which seeks the demise of his master's fighting school."
"2004","Strictly Ballroom","https://m.media-amazon.com/images/M/MV5BZDgwMzI1NmUtNjQ0ZS00MzVjLWFiZmEtMDY0NjVhM2MxOTU3XkEyXkFqcGc@._V1_QL75_UX280_CR0,10,280,414_.jpg","1992","1h 34m","PG","7.2","30K","A maverick dancer risks his career by performing an unusual routine and sets out to succeed with a new partner."
"2005","Testament of Youth","https://m.media-amazon.com/images/M/MV5BMTAyOTI3OTgwMTdeQTJeQWpwZ15BbWU4MDAwNzM2NDUx._V1_QL75_UX280_CR0,0,280,414_.jpg","2014","2h 9m","PG-13","7.2","31K","A British woman recalls coming of age during World War I - a story of young love, the futility of war, and how to make sense of the darkest times."
"2006","Pat Garrett & Billy the Kid","https://m.media-amazon.com/images/M/MV5BYTRkZWQyMGEtOGMzZi00MWE0LTgyNGEtM2IyYzMxYzY0MzVjXkEyXkFqcGc@._V1_QL75_UX280_CR0,5,280,414_.jpg","1973","2h 2m","R","7.2","22K","Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons to bring down his old friend Billy the Kid."
"2007","The Tale","https://m.media-amazon.com/images/M/MV5BNzMxYTNhMTAtMWExNC00MzdhLWJlYTAtMTY5NDE2NjQ5MGNlXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2018","1h 54m","TV-MA","7.2","21K","A woman filming a documentary on childhood rape victims starts to question the nature of her childhood relationship with her riding instructor and running coach."
"2008","American Murder: The Family Next Door","https://m.media-amazon.com/images/M/MV5BNDM3OTlhM2EtNjQ3Ni00MmM1LTgzZDgtMGYxNGM4NjdmNDgxXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2020","1h 23m","TV-MA","7.2","35K","In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world."
"2009","Polytechnique","https://m.media-amazon.com/images/M/MV5BMTMwODQ5MzY1Ml5BMl5BanBnXkFtZTcwNTc4MDE1Mg@@._V1_QL75_UY414_CR3,0,280,414_.jpg","2009","1h 17m","Not Rated","7.2","20K","A dramatization of the 1989 Montréal Massacre, during which several female engineering students were murdered by an unstable misogynist."
"2010","The Wife","https://m.media-amazon.com/images/M/MV5BNjMyYzVjNzYtNzNjNS00NzliLThiYWUtYWJmMmI0Zjc0MmNjXkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2017","1h 39m","R","7.2","44K","A wife questions her life choices as she travels to Stockholm to see her husband receive the Nobel Prize for Literature."
"2011","Peaceful Warrior","https://m.media-amazon.com/images/M/MV5BOGFiOGJmZjItMDQzMy00YTA0LWEyODMtNmRiYTI4OWYwNTk1XkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg","2006","2h","PG-13","7.2","31K","Dan, a college student and a world-champion gymnast, is disturbed and wants to add some meaning to his life. A chance encounter leads him to discover an enlightened way ahead."
"2012","Merry Christmas Mr. Lawrence","https://m.media-amazon.com/images/M/MV5BYWU3NzRlZTktZWFjMC00OWYzLTkzZTItMjI5Mjg5YmJjNGEzXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1983","2h 3m","R","7.2","21K","During WWII, a British colonel tries to bridge the cultural divides between a British POW and the Japanese camp commander in order to avoid bloodshed."
"2013","The Wolf Man","https://m.media-amazon.com/images/M/MV5BMjM4YWM2MzUtZjNmNi00NWEzLWIxZTYtZDEwZTE4YmVlZTMxXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg","1941","1h 10m","Approved","7.2","33K","Upon his return to his father's estate, aristocrat Larry Talbot meets a beautiful woman, attends a mystical carnival and uncovers a horrifying curse."
"2014","Manderlay","https://m.media-amazon.com/images/M/MV5BZTM0NGQ3MTQtZDFhMy00NmFjLWFjN2QtNzljOWYyM2QzN2M4XkEyXkFqcGc@._V1_QL75_UX280_CR0,0,280,414_.jpg","2005","2h 13m","Not Rated","7.2","26K","A story of slavery, set in the southern U.S. in the 1930s."
"2015","Defending Your Life","https://m.media-amazon.com/images/M/MV5BMGMxNmIyMWYtYWNkMS00NjYwLWFmNzgtZTE4NTNlODY2OGRmXkEyXkFqcGc@._V1_QL75_UY414_CR1,0,280,414_.jpg","1991","1h 52m","PG","7.2","22K","In an afterlife way-station resembling a major city, the lives of the recently deceased are examined in a court-like setting."
